"city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","rent.amount","fire.insurance"
"yes",67,2,2,1,17,"acept","not furnished",2200,28
"yes",20,1,1,0,1,"acept","furnished",2060,27
"yes",118,3,2,2,7,"acept","furnished",8500,108
"yes",43,1,1,1,2,"acept","not furnished",2430,31
"yes",195,2,3,1,10,"acept","not furnished",6000,77
"yes",141,3,4,3,7,"not acept","not furnished",7500,96
"yes",45,1,1,1,1,"not acept","not furnished",2300,30
"yes",48,1,1,1,19,"acept","not furnished",1525,6
"yes",280,3,4,2,3,"not acept","not furnished",6000,77
"yes",170,3,2,2,5,"not acept","not furnished",5000,64
"yes",90,3,2,1,0,"acept","not furnished",3260,50
"no",35,1,1,1,7,"acept","not furnished",1100,14
"yes",16,1,1,0,8,"not acept","not furnished",2300,30
"no",68,1,1,1,10,"not acept","furnished",1000,13
"yes",80,3,5,2,4,"not acept","not furnished",12000,153
"yes",190,3,2,1,6,"acept","furnished",8000,102
"yes",150,3,4,2,0,"not acept","not furnished",3400,52
"yes",112,3,3,2,12,"acept","furnished",2670,34
"yes",145,3,4,3,1,"not acept","not furnished",6000,77
"no",47,1,1,1,8,"acept","not furnished",1100,14
"yes",128,3,2,1,3,"acept","furnished",4529,58
"yes",250,3,4,4,0,"acept","not furnished",4500,68
"yes",120,3,1,0,2,"acept","not furnished",1460,21
"yes",110,2,2,2,0,"not acept","not furnished",2700,41
"yes",400,2,5,4,0,"acept","not furnished",6000,91
"yes",35,1,1,1,9,"not acept","furnished",2600,33
"yes",107,2,2,2,18,"acept","furnished",12800,163
"yes",97,2,2,0,1,"acept","not furnished",5600,71
"yes",70,2,1,0,1,"not acept","not furnished",1050,14
"yes",20,1,1,0,3,"not acept","furnished",3142,40
"yes",130,3,2,2,6,"acept","not furnished",3500,45
"yes",120,3,2,3,16,"acept","not furnished",2000,26
"yes",110,3,3,2,2,"acept","furnished",3800,49
"yes",300,3,5,3,0,"acept","not furnished",11900,179
"yes",349,4,5,4,8,"not acept","not furnished",11000,140
"yes",97,3,2,2,1,"acept","not furnished",3000,39
"yes",84,4,1,3,5,"not acept","not furnished",6000,77
"yes",180,2,2,1,0,"not acept","not furnished",2800,43
"yes",286,4,4,5,0,"acept","not furnished",10000,151
"yes",500,5,7,5,22,"acept","not furnished",14000,178
"yes",110,3,3,3,4,"acept","not furnished",2350,30
"yes",196,4,4,0,11,"acept","not furnished",6000,77
"yes",33,1,1,1,12,"not acept","not furnished",4150,53
"yes",400,4,4,3,0,"acept","not furnished",9000,136
"yes",170,2,1,0,1,"acept","furnished",2481,26
"yes",90,1,1,0,0,"acept","not furnished",2200,34
"yes",184,3,4,3,12,"acept","not furnished",1400,18
"yes",117,2,2,1,11,"not acept","furnished",7130,91
"yes",11,1,1,0,0,"not acept","furnished",1181,15
"no",57,1,1,1,2,"acept","not furnished",800,11
"yes",16,1,1,0,1,"not acept","not furnished",850,11
"yes",180,4,3,1,4,"acept","furnished",5000,64
"yes",250,3,4,2,16,"acept","not furnished",6000,77
"yes",220,3,4,2,0,"acept","furnished",7000,106
"yes",360,3,5,4,22,"acept","not furnished",3135,40
"yes",122,3,4,3,5,"acept","not furnished",4500,58
"yes",138,3,4,3,2,"not acept","not furnished",7000,89
"yes",110,3,1,1,1,"acept","not furnished",1400,18
"yes",220,4,3,3,3,"acept","not furnished",3400,44
"yes",118,3,2,1,11,"not acept","not furnished",4775,61
"yes",180,2,2,1,15,"acept","not furnished",5350,68
"yes",52,2,1,1,7,"acept","not furnished",1300,17
"yes",30,1,1,0,1,"acept","furnished",1550,20
"yes",160,3,3,2,5,"acept","furnished",1500,20
"no",209,3,3,2,0,"not acept","not furnished",2550,39
"yes",450,5,5,6,0,"acept","not furnished",9500,143
"yes",117,3,3,3,10,"acept","not furnished",2300,30
"yes",900,4,6,8,0,"acept","not furnished",15000,226
"yes",200,3,3,0,0,"acept","not furnished",4500,68
"yes",128,3,3,2,10,"acept","not furnished",3800,49
"yes",140,3,2,2,2,"acept","not furnished",3700,47
"yes",180,3,3,4,27,"acept","not furnished",7000,89
"yes",280,4,4,5,9,"acept","not furnished",3200,41
"yes",420,4,6,4,8,"acept","not furnished",15000,191
"yes",48,1,1,1,8,"acept","furnished",2700,35
"yes",148,3,2,2,2,"not acept","furnished",9000,115
"yes",75,2,1,1,5,"not acept","not furnished",2000,26
"yes",44,1,1,0,1,"not acept","not furnished",3016,12
"yes",35,1,1,0,0,"acept","not furnished",1100,14
"yes",320,4,2,2,0,"acept","furnished",8000,121
"no",98,3,2,1,1,"acept","not furnished",1233,16
"no",51,1,1,0,12,"not acept","furnished",1300,17
"yes",322,4,5,5,17,"acept","furnished",15000,191
"yes",187,4,5,3,5,"acept","not furnished",5300,68
"yes",62,3,2,1,6,"not acept","furnished",4800,61
"yes",130,2,2,1,0,"acept","not furnished",4300,55
"no",600,4,6,3,0,"acept","not furnished",5500,83
"yes",520,3,4,2,0,"acept","not furnished",9000,136
"yes",86,1,2,1,13,"acept","furnished",6500,83
"yes",72,2,2,1,6,"acept","not furnished",5431,69
"yes",550,4,4,4,0,"acept","not furnished",14000,211
"yes",50,1,1,0,0,"not acept","not furnished",1220,19
"yes",298,5,3,3,0,"acept","not furnished",8000,121
"no",74,3,2,1,10,"acept","not furnished",1800,23
"yes",41,1,1,0,17,"acept","furnished",2470,32
"no",80,3,2,2,2,"acept","not furnished",1450,19
"yes",130,3,2,1,1,"acept","not furnished",4500,58
"yes",64,1,2,2,15,"acept","not furnished",2100,27
"yes",50,1,1,1,9,"not acept","not furnished",2730,35
"yes",200,3,2,4,0,"acept","not furnished",3500,53
"yes",70,1,1,2,9,"acept","furnished",7000,89
"no",41,1,1,1,11,"acept","not furnished",1950,14
"yes",89,2,2,0,2,"acept","not furnished",1900,25
"yes",250,4,2,8,0,"acept","not furnished",13040,197
"yes",105,2,1,0,0,"acept","not furnished",1800,28
"yes",150,2,2,1,0,"acept","not furnished",2100,32
"yes",50,2,1,1,14,"not acept","not furnished",1950,25
"yes",180,3,2,1,0,"acept","not furnished",5400,82
"yes",50,1,1,0,0,"not acept","not furnished",1000,16
"no",70,1,1,2,0,"acept","not furnished",1450,22
"yes",177,2,2,2,0,"acept","not furnished",6000,91
"yes",177,4,5,4,12,"acept","not furnished",9200,117
"yes",18,1,1,0,0,"acept","not furnished",1710,22
"yes",200,3,4,2,0,"acept","not furnished",2900,44
"yes",45,1,1,1,1,"not acept","furnished",5520,70
"no",70,2,1,1,3,"acept","not furnished",750,10
"yes",66,3,2,1,9,"acept","not furnished",2179,28
"yes",48,2,1,0,2,"acept","not furnished",1150,15
"yes",515,5,4,3,5,"acept","not furnished",15000,191
"yes",55,2,2,1,7,"acept","not furnished",2000,26
"yes",350,4,5,2,0,"acept","not furnished",5000,76
"yes",260,3,3,3,8,"acept","furnished",5000,64
"yes",78,2,1,1,7,"acept","not furnished",2000,26
"yes",35,1,1,0,6,"acept","furnished",1780,23
"yes",106,2,1,2,0,"not acept","not furnished",2100,32
"yes",500,3,3,5,0,"acept","furnished",15000,226
"yes",38,1,1,0,0,"not acept","not furnished",1650,25
"yes",153,2,2,1,15,"acept","furnished",11900,151
"yes",64,2,2,2,5,"acept","not furnished",1600,21
"yes",260,3,4,4,0,"acept","not furnished",4500,68
"no",50,1,1,1,11,"acept","not furnished",500,7
"yes",170,3,2,1,14,"acept","furnished",4500,58
"yes",120,2,2,2,15,"acept","furnished",4880,62
"yes",700,4,5,2,10,"acept","furnished",8000,102
"yes",270,5,7,2,0,"acept","not furnished",3978,60
"yes",40,1,1,0,6,"acept","not furnished",3463,32
"yes",640,4,4,4,12,"acept","furnished",10200,130
"yes",40,1,1,0,0,"acept","not furnished",980,15
"yes",40,2,1,0,3,"acept","not furnished",1100,14
"yes",42,1,1,1,0,"acept","furnished",2000,26
"yes",62,1,1,0,3,"acept","not furnished",2100,27
"yes",106,2,3,2,18,"not acept","furnished",5000,64
"yes",103,3,2,1,7,"acept","not furnished",4400,56
"yes",360,3,5,3,13,"acept","not furnished",8500,108
"yes",113,1,1,2,9,"acept","furnished",6400,82
"yes",164,4,4,3,1,"acept","not furnished",6000,77
"yes",110,3,2,3,0,"acept","not furnished",2800,43
"yes",110,2,2,1,8,"acept","furnished",4348,56
"yes",136,4,3,1,3,"acept","not furnished",4200,54
"no",65,1,1,1,9,"acept","not furnished",1200,16
"yes",62,2,1,1,8,"not acept","not furnished",1345,18
"no",163,3,5,3,20,"acept","not furnished",9800,125
"yes",47,2,1,1,12,"acept","not furnished",1570,20
"yes",50,1,1,1,1,"acept","not furnished",3500,45
"yes",79,3,2,2,6,"acept","furnished",3000,39
"yes",250,3,3,2,7,"not acept","furnished",5380,69
"yes",50,2,1,1,6,"acept","not furnished",1210,16
"yes",150,3,3,2,0,"acept","not furnished",5000,76
"no",76,2,1,0,2,"acept","not furnished",700,9
"yes",72,2,2,1,7,"acept","not furnished",1800,23
"yes",35,1,1,1,17,"acept","furnished",4000,51
"yes",250,3,4,4,16,"acept","not furnished",10700,136
"no",85,3,1,1,9,"not acept","not furnished",1110,15
"no",60,1,1,1,14,"acept","not furnished",1100,14
"no",47,2,1,1,0,"acept","not furnished",1290,17
"yes",104,3,3,2,3,"not acept","furnished",9000,115
"no",203,3,1,2,0,"acept","not furnished",3300,50
"yes",136,3,2,1,85,"acept","not furnished",3500,45
"yes",53,1,1,1,3,"acept","not furnished",4500,58
"yes",400,4,3,2,0,"acept","not furnished",15000,226
"yes",40,1,1,1,14,"acept","furnished",4200,54
"yes",38,1,1,0,6,"acept","not furnished",1680,22
"yes",340,4,6,4,8,"acept","furnished",2800,36
"no",134,3,3,2,7,"not acept","not furnished",2500,32
"yes",97,2,2,0,9,"acept","furnished",3000,39
"yes",90,1,1,0,0,"not acept","not furnished",1150,18
"yes",260,4,5,2,1,"acept","furnished",8000,102
"yes",66,2,1,0,7,"acept","not furnished",1650,21
"yes",92,2,1,1,12,"not acept","not furnished",2930,38
"yes",92,3,3,1,3,"acept","furnished",4250,54
"yes",155,3,4,2,14,"acept","not furnished",13100,166
"yes",30,1,1,0,1,"not acept","not furnished",900,12
"yes",27,1,1,0,5,"not acept","not furnished",3500,45
"yes",175,4,3,2,0,"acept","not furnished",3200,49
"yes",326,3,4,4,12,"acept","not furnished",6500,83
"yes",236,4,5,4,7,"acept","not furnished",10000,127
"no",119,3,1,1,5,"acept","not furnished",1200,16
"yes",23,1,1,0,23,"acept","not furnished",2050,26
"yes",260,2,4,4,19,"not acept","not furnished",8000,102
"yes",400,3,3,2,0,"not acept","not furnished",12000,181
"yes",87,1,1,2,14,"acept","furnished",7900,101
"yes",65,2,1,1,0,"acept","not furnished",1800,28
"yes",210,3,4,4,11,"acept","furnished",15000,191
"yes",250,3,4,2,0,"acept","not furnished",4200,64
"yes",155,3,2,3,4,"acept","furnished",11700,149
"no",300,4,3,5,0,"acept","not furnished",4100,62
"no",70,3,2,2,4,"acept","not furnished",1800,23
"yes",68,1,2,1,11,"acept","not furnished",4500,58
"no",220,3,5,3,4,"not acept","furnished",7900,101
"no",91,3,2,2,12,"acept","not furnished",2250,29
"no",230,4,4,8,0,"acept","not furnished",5100,77
"no",48,2,1,0,4,"acept","not furnished",950,13
"yes",90,2,2,2,15,"not acept","furnished",10000,127
"yes",60,1,1,1,15,"acept","furnished",5500,70
"yes",450,4,4,3,14,"acept","not furnished",15000,191
"yes",16,1,1,0,1,"not acept","not furnished",850,11
"yes",100,3,2,1,8,"acept","not furnished",1400,18
"yes",300,3,3,3,0,"acept","not furnished",3400,52
"yes",151,3,4,3,14,"not acept","furnished",6800,87
"yes",150,3,4,3,12,"acept","furnished",7608,97
"yes",57,2,1,1,7,"acept","not furnished",1500,20
"yes",30,1,1,1,4,"not acept","furnished",1200,16
"no",53,1,1,1,8,"acept","furnished",3110,40
"yes",270,3,4,3,0,"acept","not furnished",6800,103
"yes",78,2,2,2,8,"acept","furnished",5800,74
"yes",20,1,1,0,1,"not acept","furnished",3142,40
"yes",140,5,2,1,1,"acept","furnished",3999,51
"yes",155,3,3,2,2,"acept","furnished",12000,153
"yes",118,3,2,4,1,"acept","not furnished",2250,29
"no",235,4,4,3,13,"acept","not furnished",5500,70
"yes",400,4,4,4,9,"acept","not furnished",9000,115
"yes",80,2,2,1,6,"not acept","not furnished",3500,45
"yes",50,1,1,0,2,"not acept","furnished",3100,12
"no",55,2,2,1,9,"acept","not furnished",2500,32
"yes",400,4,4,4,0,"acept","not furnished",8500,128
"yes",63,3,2,0,18,"acept","not furnished",1800,23
"yes",325,4,3,2,3,"acept","not furnished",8500,108
"yes",200,3,3,2,7,"not acept","furnished",6000,77
"yes",58,2,2,1,5,"acept","furnished",5000,64
"yes",180,3,2,3,0,"acept","not furnished",4600,70
"yes",159,3,2,0,5,"acept","not furnished",4507,19
"yes",420,4,3,4,0,"acept","not furnished",15000,226
"yes",88,3,1,2,5,"acept","not furnished",1500,20
"no",70,3,1,1,6,"acept","not furnished",1135,5
"yes",246,4,5,4,12,"not acept","not furnished",10000,127
"yes",53,2,1,1,1,"acept","not furnished",1250,16
"yes",22,1,1,1,19,"not acept","not furnished",2200,28
"yes",80,1,1,0,0,"acept","not furnished",1700,26
"yes",30,1,1,1,11,"acept","furnished",2570,8
"no",157,3,5,3,1,"acept","not furnished",7000,89
"yes",450,3,3,8,0,"acept","furnished",5015,76
"yes",90,3,2,0,0,"acept","not furnished",2572,8
"yes",88,2,1,0,7,"not acept","not furnished",1800,23
"no",46,1,1,0,5,"acept","furnished",1950,25
"yes",189,4,2,2,4,"acept","not furnished",8000,102
"yes",49,2,1,1,10,"not acept","not furnished",1250,16
"yes",180,3,2,2,2,"acept","not furnished",7000,89
"yes",128,3,3,2,1,"acept","not furnished",7000,89
"yes",60,2,2,0,0,"acept","not furnished",1300,10
"yes",74,3,2,1,7,"acept","not furnished",1710,22
"yes",80,1,1,1,10,"acept","not furnished",2500,32
"yes",150,3,2,1,0,"acept","not furnished",2500,38
"yes",70,3,2,1,3,"acept","not furnished",1900,25
"yes",113,3,2,2,2,"acept","not furnished",4800,61
"no",50,1,1,0,0,"acept","not furnished",880,14
"yes",300,4,2,2,1,"acept","furnished",6500,83
"yes",140,2,3,1,3,"acept","furnished",5000,64
"yes",300,4,5,1,8,"acept","furnished",8550,109
"yes",350,5,4,8,0,"not acept","not furnished",9000,136
"yes",78,2,1,1,0,"acept","not furnished",1700,26
"no",110,2,2,0,18,"acept","furnished",4200,54
"yes",423,4,5,7,28,"acept","not furnished",14000,178
"yes",110,1,1,0,20,"acept","not furnished",3182,14
"yes",136,2,4,2,7,"acept","not furnished",4800,61
"yes",56,2,1,1,3,"acept","not furnished",1700,22
"yes",20,1,1,0,3,"acept","furnished",2800,36
"yes",115,3,2,2,8,"acept","not furnished",2900,37
"yes",140,2,2,1,3,"not acept","not furnished",12500,159
"yes",64,2,1,1,2,"acept","not furnished",1400,18
"yes",60,2,1,1,15,"acept","furnished",2500,32
"yes",132,3,2,1,11,"acept","not furnished",2800,36
"yes",210,4,3,3,11,"acept","not furnished",4000,51
"yes",300,4,4,3,0,"acept","furnished",5080,77
"yes",130,3,2,2,0,"acept","not furnished",3300,50
"yes",108,2,4,2,7,"acept","not furnished",4430,57
"yes",75,2,2,1,4,"acept","not furnished",3005,10
"yes",250,3,3,3,0,"acept","not furnished",4500,68
"no",55,1,1,0,5,"acept","not furnished",500,7
"yes",129,3,2,3,5,"not acept","furnished",2950,38
"yes",158,4,4,3,5,"acept","not furnished",6600,84
"yes",100,3,3,2,1,"acept","not furnished",3248,42
"yes",130,3,2,3,0,"acept","furnished",7450,112
"yes",25,1,1,0,0,"acept","not furnished",1200,19
"yes",240,3,2,3,0,"acept","not furnished",9265,140
"yes",196,3,4,2,1,"not acept","not furnished",3300,42
"yes",39,1,1,1,5,"acept","not furnished",3300,42
"no",46,2,1,1,3,"acept","not furnished",970,13
"yes",120,3,2,0,1,"acept","not furnished",2500,38
"yes",270,2,2,3,17,"acept","not furnished",8650,110
"yes",700,4,10,0,0,"acept","not furnished",15000,226
"no",462,4,7,4,0,"acept","not furnished",5000,76
"yes",35,1,1,1,9,"acept","furnished",3150,23
"yes",90,3,3,2,12,"not acept","not furnished",3500,45
"yes",98,3,2,2,1,"acept","not furnished",1760,23
"yes",159,2,2,1,8,"acept","furnished",4200,54
"yes",115,3,5,2,10,"acept","not furnished",7000,89
"yes",400,3,3,1,3,"acept","not furnished",11000,140
"no",60,2,1,1,9,"not acept","not furnished",1317,17
"yes",220,3,4,3,11,"acept","furnished",8000,102
"yes",67,2,1,1,4,"acept","not furnished",2099,27
"yes",165,3,4,3,7,"acept","not furnished",4500,58
"yes",100,2,4,0,1,"acept","not furnished",3000,39
"yes",55,1,2,1,2,"acept","not furnished",2576,10
"no",35,1,1,1,2,"acept","not furnished",600,8
"yes",51,1,1,1,10,"acept","furnished",3700,47
"yes",73,2,2,1,13,"acept","not furnished",1250,16
"yes",320,5,5,4,4,"acept","not furnished",5500,70
"yes",35,1,1,1,7,"acept","not furnished",2300,30
"yes",46,1,1,0,3,"acept","not furnished",1600,21
"no",350,4,3,4,0,"not acept","not furnished",6000,91
"yes",340,4,4,3,2,"acept","not furnished",14000,178
"yes",28,1,1,1,4,"not acept","furnished",1899,5
"yes",125,3,2,2,0,"acept","furnished",3000,46
"yes",44,1,1,1,3,"acept","not furnished",3450,13
"yes",95,2,1,1,15,"acept","not furnished",3000,39
"yes",310,3,4,3,8,"acept","not furnished",4500,58
"yes",48,2,1,0,3,"acept","not furnished",1350,18
"yes",30,4,4,2,0,"acept","furnished",5000,76
"no",46,1,1,1,10,"acept","not furnished",580,8
"yes",141,3,2,2,4,"acept","not furnished",7400,94
"yes",58,1,1,1,17,"acept","not furnished",1600,21
"yes",48,2,1,0,0,"acept","not furnished",1350,18
"yes",560,5,5,6,0,"acept","not furnished",15000,226
"yes",98,3,2,1,9,"acept","not furnished",5500,70
"yes",340,3,4,4,2,"not acept","not furnished",12500,159
"yes",224,4,4,3,2,"acept","furnished",9350,119
"no",50,1,1,1,3,"acept","not furnished",800,11
"yes",250,3,4,3,8,"acept","not furnished",7000,89
"yes",100,2,2,1,6,"acept","not furnished",4000,51
"yes",600,3,3,4,0,"acept","not furnished",6800,103
