city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount,fire insurance,total
yes,33,1,1,0,1,not acept,not furnished,"R$1,100",R$14,"R$1,515"
yes,225,4,4,3,7,acept,not furnished,"R$5,000",R$64,"R$9,131"
yes,42,1,1,0,2,acept,furnished,"R$3,256",R$42,"R$3,298"
yes,120,3,4,1,-,not acept,not furnished,"R$4,000",R$61,"R$4,065"
yes,70,3,2,2,3,not acept,not furnished,"R$1,500",R$20,"R$2,418"
yes,90,1,1,2,-,acept,furnished,"R$3,200",R$49,"R$3,386"
yes,260,4,5,4,9,acept,furnished,"R$3,300",R$42,"R$6,356"
yes,243,3,3,4,10,acept,not furnished,"R$5,500",R$70,"R$10,200"
yes,100,1,1,0,-,acept,not furnished,"R$1,530",R$12,"R$1,542"
yes,240,3,4,3,9,acept,not furnished,"R$5,100",R$65,"R$9,478"
no,45,1,1,1,4,acept,not furnished,R$870,R$12,"R$1,628"
yes,65,1,1,1,2,acept,furnished,"R$5,000",R$64,"R$5,758"
yes,47,1,1,0,4,not acept,not furnished,"R$1,000",R$13,"R$1,189"
yes,60,2,1,0,2,acept,furnished,"R$3,300",R$42,"R$3,996"
yes,340,4,6,6,-,acept,furnished,"R$15,000",R$226,"R$15,480"
yes,500,4,4,0,-,acept,not furnished,"R$6,000",R$91,"R$6,558"
yes,55,2,1,1,14,acept,not furnished,"R$1,399",R$18,"R$1,837"
yes,240,3,4,3,3,acept,furnished,"R$4,950",R$63,"R$9,613"
yes,65,2,2,1,1,acept,not furnished,"R$2,315",R$7,"R$2,972"
yes,68,1,1,0,-,not acept,not furnished,"R$1,213",R$6,"R$1,219"
yes,500,4,4,3,-,acept,not furnished,"R$10,800",R$163,"R$11,950"
yes,198,2,2,2,13,acept,not furnished,"R$5,500",R$70,"R$7,590"
yes,62,2,1,1,13,acept,not furnished,"R$2,200",R$28,"R$2,830"
yes,60,2,2,1,4,acept,not furnished,"R$2,806",R$36,"R$3,499"
yes,187,3,2,3,-,not acept,furnished,"R$8,400",R$127,"R$10,810"
yes,25,1,1,0,23,acept,not furnished,"R$2,200",R$28,"R$2,705"
yes,230,3,4,3,-,acept,not furnished,"R$3,600",R$55,"R$4,064"
yes,17,1,1,0,1,not acept,furnished,"R$2,400",R$31,"R$2,781"
yes,67,2,2,1,17,acept,not furnished,"R$2,200",R$28,"R$3,138"
yes,20,1,1,0,1,acept,furnished,"R$2,060",R$27,"R$2,087"
yes,118,3,2,2,7,acept,furnished,"R$8,500",R$108,"R$10,920"
yes,43,1,1,1,2,acept,not furnished,"R$2,430",R$31,"R$3,483"
yes,195,2,3,1,10,acept,not furnished,"R$6,000",R$77,"R$7,911"
yes,141,3,4,3,7,not acept,not furnished,"R$7,500",R$96,"R$9,977"
yes,45,1,1,1,1,not acept,not furnished,"R$2,300",R$30,"R$2,880"
yes,48,1,1,1,19,acept,not furnished,"R$1,525",R$6,"R$2,119"
yes,280,3,4,2,3,not acept,not furnished,"R$6,000",R$77,"R$11,140"
yes,170,3,2,2,5,not acept,not furnished,"R$5,000",R$64,"R$7,686"
yes,90,3,2,1,-,acept,not furnished,"R$3,260",R$50,"R$3,310"
no,35,1,1,1,7,acept,not furnished,"R$1,100",R$14,"R$1,519"
yes,16,1,1,0,8,not acept,not furnished,"R$2,300",R$30,"R$2,820"
no,68,1,1,1,10,not acept,furnished,"R$1,000",R$13,"R$1,661"
yes,80,3,5,2,4,not acept,not furnished,"R$12,000",R$153,"R$16,610"
yes,190,3,2,1,6,acept,furnished,"R$8,000",R$102,"R$11,700"
yes,150,3,4,2,-,not acept,not furnished,"R$3,400",R$52,"R$3,452"
yes,112,3,3,2,12,acept,furnished,"R$2,670",R$34,"R$3,992"
yes,145,3,4,3,1,not acept,not furnished,"R$6,000",R$77,"R$8,027"
no,47,1,1,1,8,acept,not furnished,"R$1,100",R$14,"R$1,720"
yes,128,3,2,1,3,acept,furnished,"R$4,529",R$58,"R$5,923"
yes,250,3,4,4,-,acept,not furnished,"R$4,500",R$68,"R$4,902"
yes,120,3,1,0,2,acept,not furnished,"R$1,460",R$21,"R$1,731"
yes,110,2,2,2,-,not acept,not furnished,"R$2,700",R$41,"R$3,041"
yes,400,2,5,4,-,acept,not furnished,"R$6,000",R$91,"R$6,575"
yes,35,1,1,1,9,not acept,furnished,"R$2,600",R$33,"R$4,000"
yes,107,2,2,2,18,acept,furnished,"R$12,800",R$163,"R$15,180"
yes,97,2,2,0,1,acept,not furnished,"R$5,600",R$71,"R$6,871"
yes,70,2,1,0,1,not acept,not furnished,"R$1,050",R$14,"R$1,530"
yes,20,1,1,0,3,not acept,furnished,"R$3,142",R$40,"R$3,399"
yes,130,3,2,2,6,acept,not furnished,"R$3,500",R$45,"R$4,854"
yes,120,3,2,3,16,acept,not furnished,"R$2,000",R$26,"R$3,718"
yes,110,3,3,2,2,acept,furnished,"R$3,800",R$49,"R$5,041"
yes,300,3,5,3,-,acept,not furnished,"R$11,900",R$179,"R$12,330"
yes,349,4,5,4,8,not acept,not furnished,"R$11,000",R$140,"R$14,240"
yes,97,3,2,2,1,acept,not furnished,"R$3,000",R$39,"R$4,072"
yes,84,4,1,3,5,not acept,not furnished,"R$6,000",R$77,"R$8,795"
yes,180,2,2,1,-,not acept,not furnished,"R$2,800",R$43,"R$2,948"
yes,286,4,4,5,-,acept,not furnished,"R$10,000",R$151,"R$11,150"
yes,500,5,7,5,22,acept,not furnished,"R$14,000",R$178,"R$21,760"
yes,110,3,3,3,4,acept,not furnished,"R$2,350",R$30,"R$4,245"
yes,196,4,4,0,11,acept,not furnished,"R$6,000",R$77,"R$9,985"
yes,33,1,1,1,12,not acept,not furnished,"R$4,150",R$53,"R$4,850"
yes,400,4,4,3,-,acept,not furnished,"R$9,000",R$136,"R$9,678"
yes,170,2,1,0,1,acept,furnished,"R$2,481",R$26,"R$2,507"
yes,90,1,1,0,-,acept,not furnished,"R$2,200",R$34,"R$2,343"
yes,184,3,4,3,12,acept,not furnished,"R$1,400",R$18,"R$4,810"
yes,117,2,2,1,11,not acept,furnished,"R$7,130",R$91,"R$8,001"
yes,11,1,1,0,-,not acept,furnished,"R$1,181",R$15,"R$1,196"
no,57,1,1,1,2,acept,not furnished,R$800,R$11,"R$1,482"
yes,16,1,1,0,1,not acept,not furnished,R$850,R$11,R$891
yes,180,4,3,1,4,acept,furnished,"R$5,000",R$64,"R$6,876"
yes,250,3,4,2,16,acept,not furnished,"R$6,000",R$77,"R$9,894"
yes,220,3,4,2,-,acept,furnished,"R$7,000",R$106,"R$7,540"
yes,360,3,5,4,22,acept,not furnished,"R$3,135",R$40,"R$7,040"
yes,122,3,4,3,5,acept,not furnished,"R$4,500",R$58,"R$4,558"
yes,138,3,4,3,2,not acept,not furnished,"R$7,000",R$89,"R$8,569"
yes,110,3,1,1,1,acept,not furnished,"R$1,400",R$18,"R$2,653"
yes,220,4,3,3,3,acept,not furnished,"R$3,400",R$44,"R$5,044"
yes,118,3,2,1,11,not acept,not furnished,"R$4,775",R$61,"R$6,137"
yes,180,2,2,1,15,acept,not furnished,"R$5,350",R$68,"R$7,218"
yes,52,2,1,1,7,acept,not furnished,"R$1,300",R$17,"R$1,920"
yes,30,1,1,0,1,acept,furnished,"R$1,550",R$20,"R$1,591"
yes,160,3,3,2,5,acept,furnished,"R$1,500",R$20,"R$3,589"
no,209,3,3,2,-,not acept,not furnished,"R$2,550",R$39,"R$3,419"
yes,450,5,5,6,-,acept,not furnished,"R$9,500",R$143,"R$10,990"
yes,117,3,3,3,10,acept,not furnished,"R$2,300",R$30,"R$5,310"
yes,900,4,6,8,-,acept,not furnished,"R$15,000",R$226,"R$19,640"
yes,200,3,3,0,-,acept,not furnished,"R$4,500",R$68,"R$4,639"
yes,128,3,3,2,10,acept,not furnished,"R$3,800",R$49,"R$7,054"
yes,140,3,2,2,2,acept,not furnished,"R$3,700",R$47,"R$5,394"
yes,180,3,3,4,27,acept,not furnished,"R$7,000",R$89,"R$9,948"
yes,280,4,4,5,9,acept,not furnished,"R$3,200",R$41,"R$7,116"
yes,420,4,6,4,8,acept,not furnished,"R$15,000",R$191,"R$20,940"
yes,48,1,1,1,8,acept,furnished,"R$2,700",R$35,"R$3,612"
yes,148,3,2,2,2,not acept,furnished,"R$9,000",R$115,"R$12,210"
yes,75,2,1,1,5,not acept,not furnished,"R$2,000",R$26,"R$2,774"
yes,44,1,1,0,1,not acept,not furnished,"R$3,016",R$12,"R$3,445"
yes,35,1,1,0,-,acept,not furnished,"R$1,100",R$14,"R$1,144"
yes,320,4,2,2,-,acept,furnished,"R$8,000",R$121,"R$8,763"
no,98,3,2,1,1,acept,not furnished,"R$1,233",R$16,"R$2,060"
no,51,1,1,0,12,not acept,furnished,"R$1,300",R$17,"R$2,069"
yes,322,4,5,5,17,acept,furnished,"R$15,000",R$191,"R$19,770"
yes,187,4,5,3,5,acept,not furnished,"R$5,300",R$68,"R$10,700"
yes,62,3,2,1,6,not acept,furnished,"R$4,800",R$61,"R$6,578"
yes,130,2,2,1,-,acept,not furnished,"R$4,300",R$55,"R$5,555"
no,600,4,6,3,-,acept,not furnished,"R$5,500",R$83,"R$7,525"
yes,520,3,4,2,-,acept,not furnished,"R$9,000",R$136,"R$10,640"
yes,86,1,2,1,13,acept,furnished,"R$6,500",R$83,"R$8,758"
yes,72,2,2,1,6,acept,not furnished,"R$5,431",R$69,"R$6,934"
yes,550,4,4,4,-,acept,not furnished,"R$14,000",R$211,"R$15,550"
yes,50,1,1,0,-,not acept,not furnished,"R$1,220",R$19,"R$1,239"
yes,298,5,3,3,-,acept,not furnished,"R$8,000",R$121,"R$9,505"
no,74,3,2,1,10,acept,not furnished,"R$1,800",R$23,"R$2,643"
yes,41,1,1,0,17,acept,furnished,"R$2,470",R$32,"R$2,952"
no,80,3,2,2,2,acept,not furnished,"R$1,450",R$19,"R$2,329"
yes,130,3,2,1,1,acept,not furnished,"R$4,500",R$58,"R$5,858"
yes,64,1,2,2,15,acept,not furnished,"R$2,100",R$27,"R$2,910"
yes,50,1,1,1,9,not acept,not furnished,"R$2,730",R$35,"R$3,944"
yes,200,3,2,4,-,acept,not furnished,"R$3,500",R$53,"R$3,553"
yes,70,1,1,2,9,acept,furnished,"R$7,000",R$89,"R$9,781"
no,41,1,1,1,11,acept,not furnished,"R$1,950",R$14,"R$2,419"
yes,89,2,2,0,2,acept,not furnished,"R$1,900",R$25,"R$2,925"
yes,250,4,2,8,-,acept,not furnished,"R$13,040",R$197,"R$13,740"
yes,105,2,1,0,-,acept,not furnished,"R$1,800",R$28,"R$1,953"
yes,150,2,2,1,-,acept,not furnished,"R$2,100",R$32,"R$2,133"
yes,50,2,1,1,14,not acept,not furnished,"R$1,950",R$25,"R$2,425"
yes,180,3,2,1,-,acept,not furnished,"R$5,400",R$82,"R$5,941"
yes,50,1,1,0,-,not acept,not furnished,"R$1,000",R$16,"R$1,016"
no,70,1,1,2,-,acept,not furnished,"R$1,450",R$22,"R$1,477"
yes,177,2,2,2,-,acept,not furnished,"R$6,000",R$91,"R$6,433"
yes,177,4,5,4,12,acept,not furnished,"R$9,200",R$117,"R$11,780"
yes,18,1,1,0,-,acept,not furnished,"R$1,710",R$22,"R$1,732"
yes,200,3,4,2,-,acept,not furnished,"R$2,900",R$44,"R$4,044"
yes,45,1,1,1,1,not acept,furnished,"R$5,520",R$70,"R$8,590"
no,70,2,1,1,3,acept,not furnished,R$750,R$10,"R$1,023"
yes,66,3,2,1,9,acept,not furnished,"R$2,179",R$28,"R$2,928"
yes,48,2,1,0,2,acept,not furnished,"R$1,150",R$15,"R$1,345"
yes,515,5,4,3,5,acept,not furnished,"R$15,000",R$191,"R$21,040"
yes,55,2,2,1,7,acept,not furnished,"R$2,000",R$26,"R$2,676"
yes,350,4,5,2,-,acept,not furnished,"R$5,000",R$76,"R$5,401"
yes,260,3,3,3,8,acept,furnished,"R$5,000",R$64,"R$8,116"
yes,78,2,1,1,7,acept,not furnished,"R$2,000",R$26,"R$2,706"
yes,35,1,1,0,6,acept,furnished,"R$1,780",R$23,"R$2,223"
yes,106,2,1,2,-,not acept,not furnished,"R$2,100",R$32,"R$2,242"
yes,500,3,3,5,-,acept,furnished,"R$15,000",R$226,"R$16,350"
yes,38,1,1,0,-,not acept,not furnished,"R$1,650",R$25,"R$1,675"
yes,153,2,2,1,15,acept,furnished,"R$11,900",R$151,"R$13,900"
yes,64,2,2,2,5,acept,not furnished,"R$1,600",R$21,"R$2,656"
yes,260,3,4,4,-,acept,not furnished,"R$4,500",R$68,"R$4,568"
no,50,1,1,1,11,acept,not furnished,R$500,R$7,"R$2,112"
yes,170,3,2,1,14,acept,furnished,"R$4,500",R$58,"R$6,343"
yes,120,2,2,2,15,acept,furnished,"R$4,880",R$62,"R$6,249"
yes,700,4,5,2,10,acept,furnished,"R$8,000",R$102,"R$11,500"
yes,270,5,7,2,-,acept,not furnished,"R$3,978",R$60,"R$4,127"
yes,40,1,1,0,6,acept,not furnished,"R$3,463",R$32,"R$4,385"
yes,640,4,4,4,12,acept,furnished,"R$10,200",R$130,"R$17,310"
yes,40,1,1,0,-,acept,not furnished,R$980,R$15,"R$1,054"
yes,40,2,1,0,3,acept,not furnished,"R$1,100",R$14,"R$1,462"
yes,42,1,1,1,-,acept,furnished,"R$2,000",R$26,"R$2,564"
yes,62,1,1,0,3,acept,not furnished,"R$2,100",R$27,"R$2,677"
yes,106,2,3,2,18,not acept,furnished,"R$5,000",R$64,"R$6,264"
yes,103,3,2,1,7,acept,not furnished,"R$4,400",R$56,"R$5,526"
yes,360,3,5,3,13,acept,not furnished,"R$8,500",R$108,"R$14,410"
yes,113,1,1,2,9,acept,furnished,"R$6,400",R$82,"R$7,132"
yes,164,4,4,3,1,acept,not furnished,"R$6,000",R$77,"R$8,467"
yes,110,3,2,3,-,acept,not furnished,"R$2,800",R$43,"R$2,858"
yes,110,2,2,1,8,acept,furnished,"R$4,348",R$56,"R$5,885"
yes,136,4,3,1,3,acept,not furnished,"R$4,200",R$54,"R$6,366"
no,65,1,1,1,9,acept,not furnished,"R$1,200",R$16,"R$1,679"
yes,62,2,1,1,8,not acept,not furnished,"R$1,345",R$18,"R$2,133"
no,163,3,5,3,20,acept,not furnished,"R$9,800",R$125,"R$11,730"
yes,47,2,1,1,12,acept,not furnished,"R$1,570",R$20,"R$2,187"
yes,50,1,1,1,1,acept,not furnished,"R$3,500",R$45,"R$4,553"
yes,79,3,2,2,6,acept,furnished,"R$3,000",R$39,"R$4,148"
yes,250,3,3,2,7,not acept,furnished,"R$5,380",R$69,"R$7,083"
yes,50,2,1,1,6,acept,not furnished,"R$1,210",R$16,"R$1,606"
yes,150,3,3,2,-,acept,not furnished,"R$5,000",R$76,"R$5,311"
no,76,2,1,0,2,acept,not furnished,R$700,R$9,"R$1,109"
yes,72,2,2,1,7,acept,not furnished,"R$1,800",R$23,"R$2,502"
yes,35,1,1,1,17,acept,furnished,"R$4,000",R$51,"R$5,531"
yes,250,3,4,4,16,acept,not furnished,"R$10,700",R$136,"R$15,480"
no,85,3,1,1,9,not acept,not furnished,"R$1,110",R$15,"R$1,786"
no,60,1,1,1,14,acept,not furnished,"R$1,100",R$14,"R$1,746"
no,47,2,1,1,-,acept,not furnished,"R$1,290",R$17,"R$1,595"
yes,104,3,3,2,3,not acept,furnished,"R$9,000",R$115,"R$10,280"
no,203,3,1,2,-,acept,not furnished,"R$3,300",R$50,"R$3,467"
yes,136,3,2,1,85,acept,not furnished,"R$3,500",R$45,"R$5,318"
yes,53,1,1,1,3,acept,not furnished,"R$4,500",R$58,"R$5,452"
yes,400,4,3,2,-,acept,not furnished,"R$15,000",R$226,"R$17,100"
yes,40,1,1,1,14,acept,furnished,"R$4,200",R$54,"R$4,809"
yes,38,1,1,0,6,acept,not furnished,"R$1,680",R$22,"R$1,702"
yes,340,4,6,4,8,acept,furnished,"R$2,800",R$36,"R$7,603"
no,134,3,3,2,7,not acept,not furnished,"R$2,500",R$32,"R$3,709"
yes,97,2,2,0,9,acept,furnished,"R$3,000",R$39,"R$3,492"
yes,90,1,1,0,-,not acept,not furnished,"R$1,150",R$18,"R$1,227"
yes,260,4,5,2,1,acept,furnished,"R$8,000",R$102,"R$11,120"
yes,66,2,1,0,7,acept,not furnished,"R$1,650",R$21,"R$2,027"
yes,92,2,1,1,12,not acept,not furnished,"R$2,930",R$38,"R$6,166"
yes,92,3,3,1,3,acept,furnished,"R$4,250",R$54,"R$5,075"
